21-07-2016 06:38:44 infiSTAR.de | 2h 29min | Mateuus(76561198065694695) | Added 111 oil_processeds to Mateuus! (v0228B)
21-07-2016 06:38:48 infiSTAR.de | 2h 29min | Mateuus(76561198065694695) | Added 1 oil_processeds to Mateuus! (v0228B)
21-07-2016 06:38:48 infiSTAR.de | 2h 29min | Mateuus(76561198065694695) | Added 1 oil_processeds to Mateuus! (v0228B)
21-07-2016 06:38:48 infiSTAR.de | 2h 29min | Mateuus(76561198065694695) | Added 1 oil_processeds to Mateuus! (v0228B)
21-07-2016 06:38:49 infiSTAR.de | 2h 29min | Mateuus(76561198065694695) | Added 1 oil_processeds to Mateuus! (v0228B)
21-07-2016 06:38:49 infiSTAR.de | 2h 29min | Mateuus(76561198065694695) | Added 1 oil_processeds to Mateuus! (v0228B)
21-07-2016 06:38:49 infiSTAR.de | 2h 29min | Mateuus(76561198065694695) | Added 1 oil_processeds to Mateuus! (v0228B)
21-07-2016 06:38:49 infiSTAR.de | 2h 29min | Mateuus(76561198065694695) | Added 1 oil_processeds to Mateuus! (v0228B)
21-07-2016 06:38:49 infiSTAR.de | 2h 29min | Mateuus(76561198065694695) | Added 1 oil_processeds to Mateuus! (v0228B)
21-07-2016 06:38:50 infiSTAR.de | 2h 29min | Mateuus(76561198065694695) | Added 1 oil_processeds to Mateuus! (v0228B)
21-07-2016 06:38:50 infiSTAR.de | 2h 29min | Mateuus(76561198065694695) | Added 1 oil_processeds to Mateuus! (v0228B)
21-07-2016 06:39:05 infiSTAR.de | 2h 30min | Mateuus(76561198065694695) | Teleport to [4915.76,11122.3,0](GPS: 049111) (v0228B)
21-07-2016 06:44:54 infiSTAR.de | 0h 11min | Arlindo Neto(76561198112843376) | Teleport to [4931.68,11126.3,0](GPS: 049111) (v0228B)
21-07-2016 22:11:49 infiSTAR.de | 0h 18min | Mateuus(76561198065694695) | Teleport to [3243.91,12464.3,0](GPS: 032124) (v0228B)
21-07-2016 22:14:17 infiSTAR.de | 0h 20min | Arlindo Neto(76561198112843376) | Teleport to [9174.83,21646,0](GPS: 091216) (v0228B)
21-07-2016 22:33:58 infiSTAR.de | 0h 40min | Mateuus(76561198065694695) | Heal - civ_1(76561198065694695) (v0228B)
21-07-2016 22:49:52 infiSTAR.de | 0h 56min | Mateuus(76561198065694695) | Teleport to [3660.13,13131.5,0](GPS: 036131) (v0228B)
21-07-2016 22:55:40 infiSTAR.de | 1h 2min | Arlindo Neto(76561198112843376) | infiSTAR MapIcons - 1 (v0228B)
