18-06-2016 01:09:17 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Teleport to [3664.1,13105.2,0](GPS: 036131) (v0228B)
18-06-2016 01:11:44 infiSTAR.de | 0h 10min | Mateuus(76561198065694695) | Teleport to [3631.23,13095.8,0](GPS: 036130) (v0228B)
18-06-2016 01:14:25 infiSTAR.de | 0h 12min | Mateuus(76561198065694695) | Teleport to [23616.8,18557.6,0](GPS: 236185) (v0228B)
18-06-2016 01:19:12 infiSTAR.de | 0h 17min | Mateuus(76561198065694695) | Teleport to [23824.9,18585.5,0](GPS: 238185) (v0228B)
18-06-2016 01:24:20 infiSTAR.de | 0h 22min | Mateuus(76561198065694695) | Teleport to [27354.1,24459.7,0](GPS: 273244) (v0228B)
18-06-2016 01:24:56 infiSTAR.de | 0h 23min | Mateuus(76561198065694695) | Teleport to [3655.21,13082.2,0](GPS: 036130) (v0228B)
18-06-2016 01:25:19 infiSTAR.de | 0h 23min | Mateuus(76561198065694695) | Teleport to [27362.7,24466.1,0](GPS: 273244) (v0228B)
18-06-2016 01:27:31 infiSTAR.de | 0h 26min | Mateuus(76561198065694695) | Teleport to [20696.3,19469.2,0](GPS: 206194) (v0228B)
18-06-2016 01:30:23 infiSTAR.de | 0h 28min | Mateuus(76561198065694695) | Teleport to [27363.3,24466.2,0](GPS: 273244) (v0228B)
18-06-2016 01:33:05 infiSTAR.de | 0h 31min | Mateuus(76561198065694695) | Teleport to [20697.2,19469,0](GPS: 206194) (v0228B)
18-06-2016 01:33:58 infiSTAR.de | 0h 32min | TEN.Lopes(76561198129878487) | 100K Cash (v0228B)
18-06-2016 01:34:00 infiSTAR.de | 0h 32min | TEN.Lopes(76561198129878487) | 100K Cash (v0228B)
18-06-2016 01:34:01 infiSTAR.de | 0h 32min | TEN.Lopes(76561198129878487) | Disable Announces - 1 (v0228B)
18-06-2016 01:36:35 infiSTAR.de | 0h 35min | TEN.Lopes(76561198129878487) | Teleport to [18476.8,14296.4,0](GPS: 184142) (v0228B)
18-06-2016 01:36:57 infiSTAR.de | 0h 35min | TEN.Lopes(76561198129878487) | Added 1 pickaxes to TEN.Lopes! (v0228B)
18-06-2016 01:40:18 infiSTAR.de | 0h 38min | TEN.Lopes(76561198129878487) | Teleport to [14272.8,18893.9,0](GPS: 142188) (v0228B)
18-06-2016 01:41:32 infiSTAR.de | 0h 40min | TEN.Lopes(76561198129878487) | Teleport to [17860.1,18196.1,0](GPS: 178181) (v0228B)
18-06-2016 01:42:36 infiSTAR.de | 0h 41min | TEN.Lopes(76561198129878487) | Teleport to [16334.7,17266.6,0](GPS: 163172) (v0228B)
18-06-2016 01:43:51 infiSTAR.de | 0h 42min | TEN.Lopes(76561198129878487) | Teleport to [17873.3,16851.7,0](GPS: 178168) (v0228B)
18-06-2016 01:44:21 infiSTAR.de | 0h 42min | TEN.Lopes(76561198129878487) | Teleport to [14353.4,18908.6,0](GPS: 143189) (v0228B)
18-06-2016 01:46:47 infiSTAR.de | 0h 45min | TEN.Lopes(76561198129878487) | Added 2 iron_refineds to TEN.Lopes! (v0228B)
18-06-2016 01:47:06 infiSTAR.de | 0h 45min | TEN.Lopes(76561198129878487) | Added 2 steels to TEN.Lopes! (v0228B)
18-06-2016 01:47:15 infiSTAR.de | 0h 45min | TEN.Lopes(76561198129878487) | Added 2 steelplates to TEN.Lopes! (v0228B)
18-06-2016 01:49:55 infiSTAR.de | 0h 48min | Mateuus(76561198065694695) | Teleport to [14359.8,18920.5,0](GPS: 143189) (v0228B)
18-06-2016 01:51:25 infiSTAR.de | 0h 49min | TEN.Lopes(76561198129878487) | Added 16 cloths to TEN.Lopes! (v0228B)
18-06-2016 01:52:10 infiSTAR.de | 0h 50min | Mateuus(76561198065694695) | Heal - civ_1(76561198065694695) (v0228B)
18-06-2016 01:52:38 infiSTAR.de | 0h 51min | Mateuus(76561198065694695) | Heal - civ_1(76561198065694695) (v0228B)
18-06-2016 01:52:57 infiSTAR.de | 0h 51min | TEN.Lopes(76561198129878487) | Added 28 cloths to TEN.Lopes! (v0228B)
18-06-2016 01:53:25 infiSTAR.de | 0h 51min | TEN.Lopes(76561198129878487) | Added 12 sulfurs to TEN.Lopes! (v0228B)
18-06-2016 01:53:41 infiSTAR.de | 0h 52min | TEN.Lopes(76561198129878487) | Added 12 sulfurs to TEN.Lopes! (v0228B)
18-06-2016 01:54:02 infiSTAR.de | 0h 52min | TEN.Lopes(76561198129878487) | spawning Mochila de carga (cáqui) (B_Carryall_khk) (v0228B)
18-06-2016 01:54:39 infiSTAR.de | 0h 53min | TEN.Lopes(76561198129878487) | Added 21 sulfurs to TEN.Lopes! (v0228B)
18-06-2016 01:54:49 infiSTAR.de | 0h 53min | TEN.Lopes(76561198129878487) | Added 1 triggers to TEN.Lopes! (v0228B)
18-06-2016 01:55:15 infiSTAR.de | 0h 53min | TEN.Lopes(76561198129878487) | Added 12 C4s to TEN.Lopes! (v0228B)
18-06-2016 01:56:07 infiSTAR.de | 0h 54min | TEN.Lopes(76561198129878487) | Added 12 C4s to TEN.Lopes! (v0228B)
18-06-2016 01:59:13 infiSTAR.de | 0h 57min | TEN.Lopes(76561198129878487) | spawning Arnês de carga (V_HarnessO_brn) (v0228B)
18-06-2016 01:59:16 infiSTAR.de | 0h 57min | TEN.Lopes(76561198129878487) | spawning Arnês de granadeiro de carga (V_HarnessOGL_brn) (v0228B)
